date,total,domestic,abroad,dead
2022.1.9,3370,3136,234,51 
2022.1.10,3005,2767,238,34 
2022.1.11,3094,2810,284,43 
2022.1.12,4383,4005,378,52 
2022.1.13,4162,3775,387,44 
2022.1.14,4538,4132,406,49 
2022.1.15,4419,4074,345,22 
2022.1.16,4189,3812,377,29 
2022.1.17,3856,3550,306,23 
2022.1.18,4070,3761,309,45 
2022.1.19,5804,5430,374,74 
2022.1.20,6600,6355,245,28 
2022.1.21,6766,6479,287,21 
2022.1.22,7004,6726,278,28 
2022.1.23,7625,7341,284,11 
2022.1.24,7511,7159,352,25
2022.1.25,8570,8355,215,23 
2022.1.26,13007,12738,269,32 
2022.1.27,14514,14297,217,34 
2022.1.28,16092,15891,201,24 
2022.1.29,17511,17322,189,34 
2022.1.30,17526,17301,225,20 
2022.1.31,17077,16846,231,23
2022.2.1,18338,18119,219,17 
2022.2.2,20268,20110,158,15 
2022.2.3,22906,22772,134,25 
2022.2.4,27438,27281,157,24 
2022.2.5,36345,36157,188,22
2022.2.6,38688,38499,189,15
2022.2.7,35281,35124,157,13 
2022.2.8,36717,36617,100,36 
2022.2.9,49552,49387,165,21
